county_name,state_name,county_id
AUTAUGA,ALABAMA,01001
BALDWIN,ALABAMA,01003
BARBOUR,ALABAMA,01005
BIBB,ALABAMA,01007
BLOUNT,ALABAMA,01009
BULLOCK,ALABAMA,01011
BUTLER,ALABAMA,01013
CALHOUN,ALABAMA,01015
CHAMBERS,ALABAMA,01017
CHEROKEE,ALABAMA,01019
CHILTON,ALABAMA,01021
CHOCTAW,ALABAMA,01023
CLARKE,ALABAMA,01025
CLAY,ALABAMA,01027
CLEBURNE,ALABAMA,01029
COFFEE,ALABAMA,01031
COLBERT,ALABAMA,01033
CONECUH,ALABAMA,01035
COOSA,ALABAMA,01037
COVINGTON,ALABAMA,01039
CRENSHAW,ALABAMA,01041
CULLMAN,ALABAMA,01043
DALE,ALABAMA,01045
DALLAS,ALABAMA,01047
DEKALB,ALABAMA,01049
ELMORE,ALABAMA,01051
ESCAMBIA,ALABAMA,01053
ETOWAH,ALABAMA,01055
FAYETTE,ALABAMA,01057
FRANKLIN,ALABAMA,01059
GENEVA,ALABAMA,01061
GREENE,ALABAMA,01063
HALE,ALABAMA,01065
HENRY,ALABAMA,01067
HOUSTON,ALABAMA,01069
JACKSON,ALABAMA,01071
JEFFERSON,ALABAMA,01073
LAMAR,ALABAMA,01075
LAUDERDALE,ALABAMA,01077
LAWRENCE,ALABAMA,01079
LEE,ALABAMA,01081
LIMESTONE,ALABAMA,01083
LOWNDES,ALABAMA,01085
MACON,ALABAMA,01087
MADISON,ALABAMA,01089
MARENGO,ALABAMA,01091
MARION,ALABAMA,01093
MARSHALL,ALABAMA,01095
MOBILE,ALABAMA,01097
MONROE,ALABAMA,01099
MONTGOMERY,ALABAMA,01101
MORGAN,ALABAMA,01103
PERRY,ALABAMA,01105
PICKENS,ALABAMA,01107
PIKE,ALABAMA,01109
RANDOLPH,ALABAMA,01111
RUSSELL,ALABAMA,01113
SAINT CLAIR,ALABAMA,01115
SHELBY,ALABAMA,01117
SUMTER,ALABAMA,01119
TALLADEGA,ALABAMA,01121
TALLAPOOSA,ALABAMA,01123
TUSCALOOSA,ALABAMA,01125
WALKER,ALABAMA,01127
WASHINGTON,ALABAMA,01129
WILCOX,ALABAMA,01131
WINSTON,ALABAMA,01133
ALEUTIANS EAST,ALASKA,02013
ALEUTIANS WEST,ALASKA,02016
ANCHORAGE,ALASKA,02020
BETHEL,ALASKA,02050
BRISTOL BAY,ALASKA,02060
DENALI,ALASKA,02068
DILLINGHAM,ALASKA,02070
FAIRBANKS NORTH STAR,ALASKA,02090
HAINES,ALASKA,02100
HOONAH-ANGOON,ALASKA,02105
JUNEAU,ALASKA,02110
KENAI PENINSULA,ALASKA,02122
KETCHIKAN GATEWAY,ALASKA,02130
KODIAK ISLAND,ALASKA,02150
LAKE AND PENINSULA,ALASKA,02164
MATANUSKA-SUSITNA,ALASKA,02170
NOME,ALASKA,02180
NORTH SLOPE,ALASKA,02185
NORTHWEST ARCTIC,ALASKA,02188
PETERSBURG,ALASKA,02195
PRINCE OF WALES-HYDER,ALASKA,02198
SITKA,ALASKA,02220
SKAGWAY,ALASKA,02230
SOUTHEAST FAIRBANKS,ALASKA,02240
VALDEZ-CORDOVA,ALASKA,02261
WADE HAMPTON,ALASKA,02270
WRANGELL,ALASKA,02275
YAKUTAT,ALASKA,02282
YUKON-KOYUKUK,ALASKA,02290
APACHE,ARIZONA,04001
COCHISE,ARIZONA,04003
COCONINO,ARIZONA,04005
GILA,ARIZONA,04007
GRAHAM,ARIZONA,04009
GREENLEE,ARIZONA,04011
LA PAZ,ARIZONA,04012
MARICOPA,ARIZONA,04013
MOHAVE,ARIZONA,04015
NAVAJO,ARIZONA,04017
PIMA,ARIZONA,04019
PINAL,ARIZONA,04021
SANTA CRUZ,ARIZONA,04023
YAVAPAI,ARIZONA,04025
YUMA,ARIZONA,04027
ARKANSAS,ARKANSAS,05001
ASHLEY,ARKANSAS,05003
BAXTER,ARKANSAS,05005
BENTON,ARKANSAS,05007
BOONE,ARKANSAS,05009
BRADLEY,ARKANSAS,05011
CALHOUN,ARKANSAS,05013
CARROLL,ARKANSAS,05015
CHICOT,ARKANSAS,05017
CLARK,ARKANSAS,05019
CLAY,ARKANSAS,05021
CLEBURNE,ARKANSAS,05023
CLEVELAND,ARKANSAS,05025
COLUMBIA,ARKANSAS,05027
CONWAY,ARKANSAS,05029
CRAIGHEAD,ARKANSAS,05031
CRAWFORD,ARKANSAS,05033
CRITTENDEN,ARKANSAS,05035
CROSS,ARKANSAS,05037
DALLAS,ARKANSAS,05039
DESHA,ARKANSAS,05041
DREW,ARKANSAS,05043
FAULKNER,ARKANSAS,05045
FRANKLIN,ARKANSAS,05047
FULTON,ARKANSAS,05049
GARLAND,ARKANSAS,05051
GRANT,ARKANSAS,05053
GREENE,ARKANSAS,05055
HEMPSTEAD,ARKANSAS,05057
HOT SPRING,ARKANSAS,05059
HOWARD,ARKANSAS,05061
INDEPENDENCE,ARKANSAS,05063
IZARD,ARKANSAS,05065
JACKSON,ARKANSAS,05067
JEFFERSON,ARKANSAS,05069
JOHNSON,ARKANSAS,05071
LAFAYETTE,ARKANSAS,05073
LAWRENCE,ARKANSAS,05075
LEE,ARKANSAS,05077
LINCOLN,ARKANSAS,05079
LITTLE RIVER,ARKANSAS,05081
LOGAN,ARKANSAS,05083
LONOKE,ARKANSAS,05085
MADISON,ARKANSAS,05087
MARION,ARKANSAS,05089
MILLER,ARKANSAS,05091
MISSISSIPPI,ARKANSAS,05093
MONROE,ARKANSAS,05095
MONTGOMERY,ARKANSAS,05097
NEVADA,ARKANSAS,05099
NEWTON,ARKANSAS,05101
OUACHITA,ARKANSAS,05103
PERRY,ARKANSAS,05105
PHILLIPS,ARKANSAS,05107
PIKE,ARKANSAS,05109
POINSETT,ARKANSAS,05111
POLK,ARKANSAS,05113
POPE,ARKANSAS,05115
PRAIRIE,ARKANSAS,05117
PULASKI,ARKANSAS,05119
RANDOLPH,ARKANSAS,05121
SAINT FRANCIS,ARKANSAS,05123
SALINE,ARKANSAS,05125
SCOTT,ARKANSAS,05127
SEARCY,ARKANSAS,05129
SEBASTIAN,ARKANSAS,05131
SEVIER,ARKANSAS,05133
SHARP,ARKANSAS,05135
STONE,ARKANSAS,05137
UNION,ARKANSAS,05139
VAN BUREN,ARKANSAS,05141
WASHINGTON,ARKANSAS,05143
WHITE,ARKANSAS,05145
WOODRUFF,ARKANSAS,05147
YELL,ARKANSAS,05149
ALAMEDA,CALIFORNIA,06001
ALPINE,CALIFORNIA,06003
AMADOR,CALIFORNIA,06005
BUTTE,CALIFORNIA,06007
CALAVERAS,CALIFORNIA,06009
COLUSA,CALIFORNIA,06011
CONTRA COSTA,CALIFORNIA,06013
DEL NORTE,CALIFORNIA,06015
EL DORADO,CALIFORNIA,06017
FRESNO,CALIFORNIA,06019
GLENN,CALIFORNIA,06021
HUMBOLDT,CALIFORNIA,06023
IMPERIAL,CALIFORNIA,06025
INYO,CALIFORNIA,06027
KERN,CALIFORNIA,06029
KINGS,CALIFORNIA,06031
LAKE,CALIFORNIA,06033
LASSEN,CALIFORNIA,06035
LOS ANGELES,CALIFORNIA,06037
MADERA,CALIFORNIA,06039
MARIN,CALIFORNIA,06041
MARIPOSA,CALIFORNIA,06043
MENDOCINO,CALIFORNIA,06045
MERCED,CALIFORNIA,06047
MODOC,CALIFORNIA,06049
MONO,CALIFORNIA,06051
MONTEREY,CALIFORNIA,06053
NAPA,CALIFORNIA,06055
NEVADA,CALIFORNIA,06057
ORANGE,CALIFORNIA,06059
PLACER,CALIFORNIA,06061
PLUMAS,CALIFORNIA,06063
RIVERSIDE,CALIFORNIA,06065
SACRAMENTO,CALIFORNIA,06067
SAN BENITO,CALIFORNIA,06069
SAN BERNARDINO,CALIFORNIA,06071
SAN DIEGO,CALIFORNIA,06073
SAN FRANCISCO,CALIFORNIA,06075
SAN JOAQUIN,CALIFORNIA,06077
SAN LUIS OBISPO,CALIFORNIA,06079
SAN MATEO,CALIFORNIA,06081
SANTA BARBARA,CALIFORNIA,06083
SANTA CLARA,CALIFORNIA,06085
SANTA CRUZ,CALIFORNIA,06087
SHASTA,CALIFORNIA,06089
SIERRA,CALIFORNIA,06091
SISKIYOU,CALIFORNIA,06093
SOLANO,CALIFORNIA,06095
SONOMA,CALIFORNIA,06097
STANISLAUS,CALIFORNIA,06099
SUTTER,CALIFORNIA,06101
TEHAMA,CALIFORNIA,06103
TRINITY,CALIFORNIA,06105
TULARE,CALIFORNIA,06107
TUOLUMNE,CALIFORNIA,06109
VENTURA,CALIFORNIA,06111
YOLO,CALIFORNIA,06113
YUBA,CALIFORNIA,06115
ADAMS,COLORADO,08001
ALAMOSA,COLORADO,08003
ARAPAHOE,COLORADO,08005
ARCHULETA,COLORADO,08007
BACA,COLORADO,08009
BENT,COLORADO,08011
BOULDER,COLORADO,08013
BROOMFIELD,COLORADO,08014
CHAFFEE,COLORADO,08015
CHEYENNE,COLORADO,08017
CLEAR CREEK,COLORADO,08019
CONEJOS,COLORADO,08021
COSTILLA,COLORADO,08023
CROWLEY,COLORADO,08025
CUSTER,COLORADO,08027
DELTA,COLORADO,08029
DENVER,COLORADO,08031
DOLORES,COLORADO,08033
DOUGLAS,COLORADO,08035
EAGLE,COLORADO,08037
ELBERT,COLORADO,08039
EL PASO,COLORADO,08041
FREMONT,COLORADO,08043
GARFIELD,COLORADO,08045
GILPIN,COLORADO,08047
GRAND,COLORADO,08049
GUNNISON,COLORADO,08051
HINSDALE,COLORADO,08053
HUERFANO,COLORADO,08055
JACKSON,COLORADO,08057
JEFFERSON,COLORADO,08059
KIOWA,COLORADO,08061
KIT CARSON,COLORADO,08063
LAKE,COLORADO,08065
LA PLATA,COLORADO,08067
LARIMER,COLORADO,08069
LAS ANIMAS,COLORADO,08071
LINCOLN,COLORADO,08073
LOGAN,COLORADO,08075
MESA,COLORADO,08077
MINERAL,COLORADO,08079
MOFFAT,COLORADO,08081
MONTEZUMA,COLORADO,08083
MONTROSE,COLORADO,08085
MORGAN,COLORADO,08087
OTERO,COLORADO,08089
OURAY,COLORADO,08091
PARK,COLORADO,08093
PHILLIPS,COLORADO,08095
PITKIN,COLORADO,08097
PROWERS,COLORADO,08099
PUEBLO,COLORADO,08101
RIO BLANCO,COLORADO,08103
RIO GRANDE,COLORADO,08105
ROUTT,COLORADO,08107
SAGUACHE,COLORADO,08109
SAN JUAN,COLORADO,08111
SAN MIGUEL,COLORADO,08113
SEDGWICK,COLORADO,08115
SUMMIT,COLORADO,08117
TELLER,COLORADO,08119
WASHINGTON,COLORADO,08121
WELD,COLORADO,08123
YUMA,COLORADO,08125
FAIRFIELD,CONNECTICUT,09001
HARTFORD,CONNECTICUT,09003
LITCHFIELD,CONNECTICUT,09005
MIDDLESEX,CONNECTICUT,09007
NEW HAVEN,CONNECTICUT,09009
NEW LONDON,CONNECTICUT,09011
TOLLAND,CONNECTICUT,09013
WINDHAM,CONNECTICUT,09015
KENT,DELAWARE,10001
NEW CASTLE,DELAWARE,10003
SUSSEX,DELAWARE,10005
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA,11001
ALACHUA,FLORIDA,12001
BAKER,FLORIDA,12003
BAY,FLORIDA,12005
BRADFORD,FLORIDA,12007
BREVARD,FLORIDA,12009
BROWARD,FLORIDA,12011
CALHOUN,FLORIDA,12013
CHARLOTTE,FLORIDA,12015
CITRUS,FLORIDA,12017
CLAY,FLORIDA,12019
COLLIER,FLORIDA,12021
COLUMBIA,FLORIDA,12023
DESOTO,FLORIDA,12027
DIXIE,FLORIDA,12029
DUVAL,FLORIDA,12031
ESCAMBIA,FLORIDA,12033
FLAGLER,FLORIDA,12035
FRANKLIN,FLORIDA,12037
GADSDEN,FLORIDA,12039
GILCHRIST,FLORIDA,12041
GLADES,FLORIDA,12043
GULF,FLORIDA,12045
HAMILTON,FLORIDA,12047
HARDEE,FLORIDA,12049
HENDRY,FLORIDA,12051
HERNANDO,FLORIDA,12053
HIGHLANDS,FLORIDA,12055
HILLSBOROUGH,FLORIDA,12057
HOLMES,FLORIDA,12059
INDIAN RIVER,FLORIDA,12061
JACKSON,FLORIDA,12063
JEFFERSON,FLORIDA,12065
LAFAYETTE,FLORIDA,12067
LAKE,FLORIDA,12069
LEE,FLORIDA,12071
LEON,FLORIDA,12073
LEVY,FLORIDA,12075
LIBERTY,FLORIDA,12077
MADISON,FLORIDA,12079
MANATEE,FLORIDA,12081
MARION,FLORIDA,12083
MARTIN,FLORIDA,12085
MIAMI-DADE,FLORIDA,12086
MONROE,FLORIDA,12087
NASSAU,FLORIDA,12089
OKALOOSA,FLORIDA,12091
OKEECHOBEE,FLORIDA,12093
